City / Reported Area,June Taira Inquiries,June Taira Bookings,June Taira Conversion Rate,June All CS Inquiries,June All CS Bookings,June All CS Conversion Rate,July Taira Inquiries,July Taira Bookings,July Taira Conversion Rate,July All CS Inquiries,July All CS Bookings,July All CS Conversion Rate,June Total Inquiries,July Total Inquiries,Inquiry Change,Inquiry Growth Rate,June Total Bookings,July Total Bookings,Booking Change,Booking Growth Rate,June Gross Booking Amount,July Gross Booking Amount,Gross Amount Change
Pampanga Po,1,0,0.0,2,0,0.0,2,0,0.0,0,0,0.0,3,2,-1,-0.33333333333333337,0,0,0,,0.0,0.0,0.0
Paranaque City,1,0,0.0,2,1,0.5,1,0,0.0,1,0,0.0,3,2,-1,-0.33333333333333337,1,0,-1,-1.0,10553.5,0.0,-10553.5
Pulilan,0,0,0.0,4,0,0.0,1,0,0.0,0,0,0.0,4,1,-3,-0.75,0,0,0,,0.0,0.0,0.0
Quezon,0,0,0.0,0,0,0.0,0,0,0.0,5,0,0.0,0,5,5,,0,0,0,,0.0,0.0,0.0
Quezon Province,1,0,0.0,2,0,0.0,1,0,0.0,1,0,0.0,3,2,-1,-0.33333333333333337,0,0,0,,0.0,0.0,0.0
Sorsogon City,2,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,3,2,-1,-0.33333333333333337,0,0,0,,0.0,0.0,0.0
Tagaytay City,0,0,0.0,2,0,0.0,2,0,0.0,1,0,0.0,2,3,1,0.5,0,0,0,,0.0,0.0,0.0
Talisay City,0,0,0.0,2,1,0.5,1,0,0.0,2,0,0.0,2,3,1,0.5,1,0,-1,-1.0,49650.0,0.0,-49650.0
Tiaong,1,0,0.0,3,0,0.0,0,0,0.0,1,0,0.0,4,1,-3,-0.75,0,0,0,,0.0,0.0,0.0
Urdaneta,1,0,0.0,1,0,0.0,2,0,0.0,1,0,0.0,2,3,1,0.5,0,0,0,,0.0,0.0,0.0
